I1121 00:58:30.334755    5719 serve.go:43] cloudcode_cli (Oct 30 2024 09:39:49 -0700, cl:691449794 baseline:688980521)
I1121 00:58:30.334798    5719 serve.go:44] Command line: ["/home/admin_/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I1121 00:58:30.336771    5719 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I1121 00:58:30.477104    5719 configuration.go:173] product updateChannel will be used
I1121 00:58:30.477155    5719 configuration.go:578] language thresholds: map[]
I1121 00:58:30.477178    5719 configuration.go:536] dataFileExtensions array: [.csv .tsv .jsonl]
I1121 00:58:30.477200    5719 configuration.go:778] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0010a5a11 StopSequences:map[] DataFilePromptLines:0}
I1121 00:58:30.477253    5719 configuration.go:778] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0010a5a21 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I1121 00:58:30.477449    5719 configuration.go:255] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I1121 00:58:30.477487    5719 configuration.go:263] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false}
I1121 00:58:30.477499    5719 configuration.go:267] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288}
I1121 00:58:30.477535    5719 configuration.go:269] Configured settings for canCancelRequests: true
I1121 00:58:30.477546    5719 configuration.go:271] Configured settings for contextPromptOpts: &{Endpoint:}
I1121 00:58:30.536338    5719 handler.go:159] cancel was requested for: 1, needs to be canceled: false
I1121 00:58:30.536356    5719 handler.go:163] cancel requested for 1 but not found
I1121 01:05:30.479292    5719 life_cycle.go:294] codeReportEvery: recomputing codereport metric
I1121 01:06:30.479331    5719 life_cycle.go:294] codeReportEvery: recomputing codereport metric
I1121 01:08:30.479256    5719 life_cycle.go:258] codeReportBasicEvery: recomputing codereportbasic metric
E1121 01:22:08.567209    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:08.567422    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:08.567567    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:08.567811    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:08.567877    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:08.567992    5719 retention.go:642] Failed to get offsets at range due to: end offset: invalid column number
E1121 01:22:08.568045    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:08.568107    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:08.568217    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:08.568310    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:08.568377    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
W1121 01:22:08.568504    5719 retention.go:169] Could not get offsets for range in document. range: &{{5 73} {19 0}}, error: invalid column number
W1121 01:22:08.568645    5719 retention.go:169] Could not get offsets for range in document. range: &{{26 60} {26 70}}, error: invalid column number
W1121 01:22:08.568656    5719 retention.go:169] Could not get offsets for range in document. range: &{{39 10} {40 0}}, error: invalid column number
W1121 01:22:08.568666    5719 retention.go:169] Could not get offsets for range in document. range: &{{93 57} {94 0}}, error: invalid column number
W1121 01:22:08.568675    5719 retention.go:169] Could not get offsets for range in document. range: &{{94 53} {95 0}}, error: invalid column number
W1121 01:22:08.568684    5719 retention.go:169] Could not get offsets for range in document. range: &{{98 10} {98 45}}, error: invalid column number
W1121 01:22:08.568696    5719 retention.go:169] Could not get offsets for range in document. range: &{{98 50} {99 0}}, error: invalid column number
W1121 01:22:08.568705    5719 retention.go:169] Could not get offsets for range in document. range: &{{99 6} {100 0}}, error: invalid column number
W1121 01:22:08.568714    5719 retention.go:169] Could not get offsets for range in document. range: &{{101 11} {101 29}}, error: invalid column number
W1121 01:22:08.568722    5719 retention.go:169] Could not get offsets for range in document. range: &{{103 12} {104 0}}, error: invalid column number
W1121 01:22:08.568731    5719 retention.go:169] Could not get offsets for range in document. range: &{{104 12} {124 13}}, error: invalid column number
I1121 01:22:30.479045    5719 life_cycle.go:294] codeReportEvery: recomputing codereport metric
E1121 01:22:46.416552    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:46.416634    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:46.416687    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:46.416733    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1121 01:22:46.416763    5719 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
W1121 01:22:46.416852    5719 retention.go:169] Could not get offsets for range in document. range: &{{9 30} {11 0}}, error: invalid column number
W1121 01:22:46.416868    5719 retention.go:169] Could not get offsets for range in document. range: &{{11 27} {12 0}}, error: invalid column number
W1121 01:22:46.416877    5719 retention.go:169] Could not get offsets for range in document. range: &{{21 5} {22 0}}, error: invalid column number
W1121 01:22:46.416888    5719 retention.go:169] Could not get offsets for range in document. range: &{{26 24} {27 0}}, error: invalid column number
